monat,produkt,kostenstelle,plan_menge,ist_menge,plan_preis,ist_preis,variable_stueckkosten,fixkosten_produkt
2026-12,Buerostuhl Basic,Vertrieb West,80,77.0,120.0,117.25,70.0,3000
2025-07,Tastatur Wireless,Vertrieb Nord,240,272.0,45.0,46.89,18.0,1200
2026-11,Tastatur Mechanisch,Vertrieb Nord,100,80.0,95.0,88.55,42.0,1800
2026-10,Monitor 32 Zoll Curved,Vertrieb Ost,24,21.0,480.0,446.64,270.0,5000
2025-10,Webcam HD,Vertrieb Nord,140,146.0,55.0,57.16,22.0,1100
2026-05,Headset Business,Vertrieb Nord,120,117.0,75.0,80.47,32.0,1600
2025-01,Tastatur Wireless,Vertrieb West,240,237.0,45.0,46.63,18.0,1200
2025-05,Headset Business,Vertrieb Ost,120,130.0,75.0,78.29,32.0,1600
2025-07,Monitor 24 Zoll,Vertrieb Sued,70,65.0,180.0,182.67,100.0,2500
2025-04,Monitor 24 Zoll,Vertrieb West,70,65.0,180.0,193.51,100.0,2500
2025-11,Buerostuhl Premium,Vertrieb Sued,30,32.0,350.0,351.78,180.0,6000
2026-06,Monitor 24 Zoll,Vertrieb West,70,74.0,180.0,196.22,100.0,2500
2026-05,Monitor 32 Zoll Curved,Vertrieb Online,24,28.0,480.0,456.9,270.0,5000
2025-01,Schreibtisch Elektrisch,Vertrieb West,18,17.0,650.0,662.52,380.0,8000
2025-06,Maus Wireless,Vertrieb Online,280,280.0,28.0,28.12,10.0,900
2026-05,Headset Business,Vertrieb Sued,120,124.0,75.0,70.52,32.0,1600
2026-02,Monitor 27 Zoll,Vertrieb Sued,60,55.0,280.0,316.07,160.0,4000
2025-03,Schreibtisch Fix,Vertrieb Online,40,35.0,220.0,217.79,110.0,3500
2026-02,Buerostuhl Basic,Vertrieb Online,80,87.0,120.0,120.5,70.0,3000
2026-03,Dockingstation USB-C,Vertrieb West,76,79.0,140.0,139.4,65.0,2200
2026-06,Tastatur Wireless,Vertrieb Ost,240,212.0,45.0,43.29,18.0,1200
2025-10,Dockingstation USB-C,Vertrieb Ost,76,76.0,140.0,127.84,65.0,2200
2025-12,Schreibtisch Elektrisch,Vertrieb Online,18,14.0,650.0,699.72,380.0,8000
2025-06,Schreibtisch Fix,Vertrieb Ost,40,39.0,220.0,205.19,110.0,3500
2025-07,Monitor 32 Zoll Curved,Vertrieb Nord,24,28.0,480.0,475.38,270.0,5000
2025-02,Webcam HD,Vertrieb Nord,140,174.0,55.0,58.76,22.0,1100
2026-11,Webcam HD,Vertrieb West,140,143.0,55.0,57.43,22.0,1100
2025-08,Schreibtischlampe LED,Vertrieb West,180,142.0,38.0,41.4,14.0,800
2025-11,Tastatur Wireless,Vertrieb Online,240,292.0,45.0,47.79,18.0,1200
2026-03,Maus Wireless,Vertrieb Online,280,286.0,28.0,25.62,10.0,900
2026-06,Monitor 27 Zoll,Vertrieb Nord,60,63.0,280.0,272.64,160.0,4000
2025-10,Headset Business,Vertrieb Nord,120,143.0,75.0,75.23,32.0,1600
2026-11,Buerostuhl Basic,Vertrieb Nord,80,65.0,120.0,130.66,70.0,3000
2026-03,Tastatur Wireless,Vertrieb Nord,240,260.0,45.0,47.25,18.0,1200
2025-09,Buerostuhl Ergonomic,Vertrieb West,18,17.0,550.0,505.6,290.0,7000
2026-04,Schreibtischlampe LED,Vertrieb Ost,180,148.0,38.0,37.05,14.0,800
2025-09,Buerostuhl Basic,Vertrieb Sued,80,88.0,120.0,112.85,70.0,3000
2026-11,Schreibtischlampe LED,Vertrieb Sued,180,188.0,38.0,32.8,14.0,800
2025-07,Tastatur Mechanisch,Vertrieb Nord,100,87.0,95.0,99.31,42.0,1800
2026-04,Dockingstation USB-C,Vertrieb Sued,76,82.0,140.0,143.11,65.0,2200
2025-10,Schreibtisch Elektrisch,Vertrieb West,18,15.0,650.0,647.08,380.0,8000
2025-01,Buerostuhl Basic,Vertrieb West,80,76.0,120.0,111.64,70.0,3000
2026-12,Headset Business,Vertrieb West,120,121.0,75.0,76.21,32.0,1600
2026-08,Tastatur Mechanisch,Vertrieb Ost,100,103.0,95.0,96.96,42.0,1800
2026-11,Monitor 32 Zoll Curved,Vertrieb Ost,24,20.0,480.0,504.41,270.0,5000
2026-10,Schreibtisch Elektrisch,Vertrieb West,18,15.0,650.0,604.68,380.0,8000
2026-09,Monitor 27 Zoll,Vertrieb Nord,60,54.0,280.0,263.06,160.0,4000
2025-07,Monitor 24 Zoll,Vertrieb Nord,70,80.0,180.0,179.72,100.0,2500
2026-09,Schreibtisch Elektrisch,Vertrieb Online,18,20.0,650.0,652.39,380.0,8000
2026-05,Buerostuhl Basic,Vertrieb Sued,80,84.0,120.0,120.4,70.0,3000
2026-12,Buerostuhl Premium,Vertrieb Online,30,32.0,350.0,367.1,180.0,6000
2025-01,Monitor 24 Zoll,Vertrieb West,70,66.0,180.0,171.0,100.0,2500
2025-04,Webcam HD,Vertrieb Nord,140,130.0,55.0,52.06,22.0,1100
2026-04,Webcam HD,Vertrieb Online,140,96.0,55.0,53.45,22.0,1100
2025-02,Monitor 27 Zoll,Vertrieb Ost,60,68.0,280.0,252.53,160.0,4000
2026-08,Buerostuhl Basic,Vertrieb Online,80,69.0,120.0,117.35,70.0,3000
2025-08,Monitor 32 Zoll Curved,Vertrieb Sued,24,24.0,480.0,466.5,270.0,5000
2026-06,Webcam HD,Vertrieb Online,140,162.0,55.0,54.22,22.0,1100
2025-06,Monitor 24 Zoll,Vertrieb Ost,70,62.0,180.0,172.42,100.0,2500
2026-09,Headset Business,Vertrieb Online,120,106.0,75.0,71.58,32.0,1600
2025-05,Webcam HD,Vertrieb West,140,121.0,55.0,52.72,22.0,1100
2026-08,Monitor 24 Zoll,Vertrieb Ost,70,76.0,180.0,164.51,100.0,2500
2025-11,Schreibtisch Fix,Vertrieb Ost,40,41.0,220.0,204.02,110.0,3500
2026-08,Schreibtisch Fix,Vertrieb Ost,40,37.0,220.0,231.49,110.0,3500
2026-08,Dockingstation USB-C,Vertrieb Ost,76,83.0,140.0,140.98,65.0,2200
2025-07,Webcam HD,Vertrieb West,140,127.0,55.0,56.8,22.0,1100
2026-05,Buerostuhl Ergonomic,Vertrieb Sued,18,16.0,550.0,533.72,290.0,7000
2025-12,Monitor 24 Zoll,Vertrieb West,70,69.0,180.0,175.49,100.0,2500
2026-03,Schreibtisch Fix,Vertrieb West,40,41.0,220.0,241.66,110.0,3500
2026-06,Schreibtisch Elektrisch,Vertrieb West,18,20.0,650.0,647.34,380.0,8000
2025-05,Monitor 24 Zoll,Vertrieb Sued,70,67.0,180.0,185.49,100.0,2500
2026-06,Buerostuhl Ergonomic,Vertrieb Online,18,14.0,550.0,569.37,290.0,7000
2025-06,Buerostuhl Basic,Vertrieb Ost,80,85.0,120.0,108.72,70.0,3000
2025-11,Tastatur Mechanisch,Vertrieb Ost,100,103.0,95.0,96.15,42.0,1800
2025-10,Buerostuhl Ergonomic,Vertrieb Online,18,16.0,550.0,606.01,290.0,7000
2026-09,Buerostuhl Basic,Vertrieb Sued,80,69.0,120.0,119.31,70.0,3000
2025-03,Buerostuhl Basic,Vertrieb West,80,67.0,120.0,120.32,70.0,3000
2026-09,Buerostuhl Ergonomic,Vertrieb Nord,18,16.0,550.0,547.54,290.0,7000
2026-03,Schreibtisch Elektrisch,Vertrieb Nord,18,21.0,650.0,629.14,380.0,8000
2025-07,Maus Wireless,Vertrieb Sued,280,200.0,28.0,26.25,10.0,900
2026-04,Monitor 27 Zoll,Vertrieb Sued,60,59.0,280.0,291.16,160.0,4000
2026-08,Buerostuhl Basic,Vertrieb Nord,80,90.0,120.0,114.58,70.0,3000
2025-07,Schreibtischlampe LED,Vertrieb Online,180,178.0,38.0,36.03,14.0,800
2025-04,Maus Wireless,Vertrieb Online,280,300.0,28.0,25.46,10.0,900
2026-10,Tastatur Wireless,Vertrieb Sued,240,245.0,45.0,43.55,18.0,1200
2026-11,Schreibtisch Elektrisch,Vertrieb West,18,16.0,650.0,662.74,380.0,8000
2026-05,Schreibtisch Elektrisch,Vertrieb Online,18,20.0,650.0,679.7,380.0,8000
2025-05,Buerostuhl Ergonomic,Vertrieb Ost,18,19.0,550.0,569.02,290.0,7000
2026-08,Tastatur Wireless,Vertrieb Online,240,227.0,45.0,45.49,18.0,1200
2026-06,Headset Business,Vertrieb Nord,120,132.0,75.0,74.86,32.0,1600
2026-04,Dockingstation USB-C,Vertrieb Ost,76,73.0,140.0,140.14,65.0,2200
2026-08,Schreibtisch Elektrisch,Vertrieb Online,18,19.0,650.0,617.4,380.0,8000
2025-02,Tastatur Mechanisch,Vertrieb Sued,100,110.0,95.0,87.89,42.0,1800
2026-06,Dockingstation USB-C,Vertrieb Online,76,71.0,140.0,144.67,65.0,2200
2025-02,Schreibtisch Elektrisch,Vertrieb Ost,18,17.0,650.0,639.66,380.0,8000
2026-05,Tastatur Wireless,Vertrieb West,240,240.0,45.0,44.69,18.0,1200
2026-05,Buerostuhl Ergonomic,Vertrieb Online,18,17.0,550.0,569.61,290.0,7000
2025-02,Buerostuhl Basic,Vertrieb Online,80,67.0,120.0,120.98,70.0,3000
2026-02,Tastatur Mechanisch,Vertrieb Online,100,107.0,95.0,100.44,42.0,1800
2025-08,Schreibtischlampe LED,Vertrieb Ost,180,188.0,38.0,37.79,14.0,800
2025-04,Tastatur Mechanisch,Vertrieb Sued,100,94.0,95.0,91.37,42.0,1800
2026-10,Dockingstation USB-C,Vertrieb Online,76,84.0,140.0,143.15,65.0,2200
2025-01,Schreibtischlampe LED,Vertrieb Sued,180,173.0,38.0,38.88,14.0,800
2026-12,Webcam HD,Vertrieb Online,140,131.0,55.0,57.25,22.0,1100
2025-04,Dockingstation USB-C,Vertrieb West,76,96.0,140.0,142.65,65.0,2200
2025-05,Schreibtischlampe LED,Vertrieb Sued,180,170.0,38.0,39.89,14.0,800
2025-06,Tastatur Mechanisch,Vertrieb Ost,100,92.0,95.0,100.45,42.0,1800
2025-10,Tastatur Wireless,Vertrieb West,240,184.0,45.0,47.58,18.0,1200
2026-10,Schreibtisch Fix,Vertrieb West,40,37.0,220.0,232.77,110.0,3500
2026-09,Schreibtisch Elektrisch,Vertrieb West,18,18.0,650.0,648.39,380.0,8000
2025-03,Headset Business,Vertrieb Sued,120,121.0,75.0,77.61,32.0,1600
2026-08,Schreibtisch Fix,Vertrieb West,40,43.0,220.0,214.69,110.0,3500
2025-09,Tastatur Wireless,Vertrieb Nord,240,258.0,45.0,43.35,18.0,1200
2025-09,Schreibtisch Fix,Vertrieb West,40,37.0,220.0,246.74,110.0,3500
2026-02,Buerostuhl Basic,Vertrieb Ost,80,68.0,120.0,124.08,70.0,3000
2025-12,Dockingstation USB-C,Vertrieb Ost,76,84.0,140.0,132.59,65.0,2200
2025-11,Monitor 24 Zoll,Vertrieb West,70,73.0,180.0,198.42,100.0,2500
2025-05,Monitor 27 Zoll,Vertrieb West,60,58.0,280.0,278.98,160.0,4000
2025-03,Monitor 24 Zoll,Vertrieb Ost,70,78.0,180.0,179.28,100.0,2500
2025-04,Tastatur Wireless,Vertrieb Sued,240,236.0,45.0,41.39,18.0,1200
2026-08,Webcam HD,Vertrieb Ost,140,128.0,55.0,53.13,22.0,1100
2025-07,Monitor 32 Zoll Curved,Vertrieb Sued,24,19.0,480.0,479.56,270.0,5000
2025-05,Buerostuhl Basic,Vertrieb Nord,80,94.0,120.0,116.21,70.0,3000
2025-11,Buerostuhl Premium,Vertrieb Ost,30,30.0,350.0,354.73,180.0,6000
2026-12,Webcam HD,Vertrieb West,140,126.0,55.0,54.55,22.0,1100
2025-03,Schreibtisch Fix,Vertrieb Ost,40,41.0,220.0,234.7,110.0,3500
2025-01,Buerostuhl Basic,Vertrieb Nord,80,91.0,120.0,121.79,70.0,3000
2025-02,Tastatur Mechanisch,Vertrieb Nord,100,89.0,95.0,97.01,42.0,1800
2025-06,Buerostuhl Basic,Vertrieb West,80,92.0,120.0,115.14,70.0,3000
2025-01,Monitor 32 Zoll Curved,Vertrieb Nord,24,24.0,480.0,496.61,270.0,5000
2026-04,Headset Business,Vertrieb Nord,120,110.0,75.0,73.04,32.0,1600
2025-02,Tastatur Wireless,Vertrieb Nord,240,247.0,45.0,46.03,18.0,1200
2026-10,Dockingstation USB-C,Vertrieb Ost,76,57.0,140.0,134.76,65.0,2200
2026-05,Schreibtisch Fix,Vertrieb Sued,40,39.0,220.0,214.45,110.0,3500
2025-08,Dockingstation USB-C,Vertrieb Sued,76,70.0,140.0,142.03,65.0,2200
2026-09,Schreibtischlampe LED,Vertrieb Online,180,179.0,38.0,36.28,14.0,800
2025-04,Buerostuhl Premium,Vertrieb Nord,30,30.0,350.0,344.84,180.0,6000
2025-04,Maus Wireless,Vertrieb Nord,280,322.0,28.0,31.48,10.0,900
2025-10,Webcam HD,Vertrieb Online,140,142.0,55.0,56.4,22.0,1100
2025-01,Headset Business,Vertrieb Sued,120,115.0,75.0,76.61,32.0,1600
2026-02,Monitor 24 Zoll,Vertrieb West,70,57.0,180.0,192.69,100.0,2500
2025-09,Schreibtischlampe LED,Vertrieb West,180,181.0,38.0,37.21,14.0,800
2026-04,Tastatur Mechanisch,Vertrieb West,100,94.0,95.0,92.35,42.0,1800
2025-01,Buerostuhl Ergonomic,Vertrieb Online,18,17.0,550.0,510.84,290.0,7000
2025-01,Monitor 27 Zoll,Vertrieb Sued,60,63.0,280.0,272.44,160.0,4000
2026-04,Monitor 32 Zoll Curved,Vertrieb West,24,25.0,480.0,492.64,270.0,5000
2025-01,Buerostuhl Ergonomic,Vertrieb Nord,18,18.0,550.0,503.27,290.0,7000
2026-05,Schreibtischlampe LED,Vertrieb Nord,180,,38.0,39.71,14.0,800
2025-07,Monitor 27 Zoll,Vertrieb Nord,60,63.0,280.0,266.06,160.0,4000
2026-02,Schreibtisch Elektrisch,Vertrieb Sued,18,17.0,650.0,623.73,380.0,8000
2025-09,Monitor 27 Zoll,Vertrieb West,60,47.0,280.0,293.24,160.0,4000
2026-09,Monitor 32 Zoll Curved,Vertrieb Ost,24,22.0,480.0,491.53,270.0,5000
2025-07,Monitor 32 Zoll Curved,Vertrieb Ost,24,24.0,480.0,463.82,270.0,5000
2025-01,Schreibtischlampe LED,Vertrieb Ost,180,169.0,38.0,36.4,14.0,800
2026-12,Tastatur Wireless,Vertrieb Sued,240,229.0,45.0,44.78,18.0,1200
2025-06,Maus Wireless,Vertrieb Nord,280,277.0,28.0,24.91,10.0,900
2026-10,Monitor 32 Zoll Curved,Vertrieb Nord,24,24.0,480.0,464.03,270.0,5000
2025-06,Headset Business,Vertrieb Online,120,120.0,75.0,76.42,32.0,1600
2025-05,Headset Business,Vertrieb Nord,120,121.0,75.0,76.56,32.0,1600
2025-02,Monitor 27 Zoll,Vertrieb Online,60,52.0,280.0,308.63,160.0,4000
2026-11,Tastatur Wireless,Vertrieb Nord,240,235.0,45.0,45.8,18.0,1200
2026-12,Buerostuhl Premium,Vertrieb West,30,29.0,350.0,338.72,180.0,6000
2025-11,Maus Wireless,Vertrieb Online,280,277.0,28.0,28.22,10.0,900
2025-08,Buerostuhl Premium,Vertrieb Online,30,31.0,350.0,335.26,180.0,6000
2026-09,Headset Business,Vertrieb Nord,120,111.0,75.0,71.84,32.0,1600
2025-06,Webcam HD,Vertrieb Sued,140,154.0,55.0,53.36,22.0,1100
2025-05,Monitor 24 Zoll,Vertrieb Online,70,70.0,180.0,181.1,100.0,2500
2025-11,Dockingstation USB-C,Vertrieb Ost,76,66.0,140.0,149.32,65.0,2200
2026-06,Headset Business,Vertrieb Online,120,100.0,75.0,78.69,32.0,1600
2025-11,Schreibtischlampe LED,Vertrieb West,180,193.0,38.0,34.08,14.0,800
2025-08,Tastatur Mechanisch,Vertrieb Ost,100,88.0,95.0,92.15,42.0,1800
2025-11,Buerostuhl Premium,Vertrieb Nord,30,27.0,350.0,366.42,180.0,6000
2025-12,Buerostuhl Ergonomic,Vertrieb Ost,18,14.0,550.0,559.44,290.0,7000
2025-12,Monitor 27 Zoll,Vertrieb West,60,53.0,280.0,288.96,160.0,4000
2026-09,Buerostuhl Ergonomic,Vertrieb Ost,18,17.0,550.0,496.38,290.0,7000
2025-10,Schreibtisch Elektrisch,Vertrieb Ost,18,18.0,650.0,697.82,380.0,8000
2026-10,Webcam HD,Vertrieb Ost,140,137.0,55.0,52.95,22.0,1100
2025-11,Maus Wireless,Vertrieb West,280,216.0,28.0,29.66,10.0,900
2026-02,Maus Wireless,Vertrieb Sued,280,284.0,28.0,26.74,10.0,900
2026-03,Monitor 27 Zoll,Vertrieb Sued,60,59.0,280.0,258.27,160.0,4000
2026-01,Headset Business,Vertrieb Nord,120,105.0,75.0,72.62,32.0,1600
2025-12,Buerostuhl Premium,Vertrieb Nord,30,29.0,350.0,320.81,180.0,6000
2026-09,Buerostuhl Basic,Vertrieb Ost,80,76.0,120.0,123.81,70.0,3000
2025-03,Headset Business,Vertrieb Sued,120,121.0,75.0,77.61,32.0,1600
2025-03,Schreibtisch Elektrisch,Vertrieb Online,18,19.0,650.0,625.51,380.0,8000
2026-09,Tastatur Mechanisch,Vertrieb Online,100,100.0,95.0,97.24,42.0,1800
2026-05,Schreibtisch Fix,Vertrieb Nord,40,35.0,220.0,235.87,110.0,3500
2026-06,Buerostuhl Premium,Vertrieb West,30,30.0,350.0,351.77,180.0,6000
2025-04,Monitor 32 Zoll Curved,Vertrieb Online,24,23.0,480.0,432.66,270.0,5000
2025-09,Buerostuhl Ergonomic,Vertrieb Sued,18,17.0,550.0,552.0,290.0,7000
2026-01,Schreibtisch Fix,Vertrieb Nord,40,43.0,220.0,221.19,110.0,3500
2026-04,Tastatur Mechanisch,Vertrieb Nord,100,100.0,95.0,101.04,42.0,1800
2026-04,Monitor 27 Zoll,Vertrieb Online,60,55.0,280.0,291.79,160.0,4000
2025-08,Monitor 24 Zoll,Vertrieb West,70,71.0,180.0,196.22,100.0,2500
2025-02,Monitor 27 Zoll,Vertrieb West,60,63.0,280.0,297.72,160.0,4000
2026-01,Tastatur Mechanisch,Vertrieb Nord,100,108.0,95.0,92.05,42.0,1800
2025-06,Monitor 24 Zoll,Vertrieb Nord,70,59.0,180.0,192.43,100.0,2500
2026-07,Buerostuhl Basic,Vertrieb Sued,80,92.0,120.0,118.91,70.0,3000
2025-04,Buerostuhl Premium,Vertrieb Ost,30,30.0,350.0,369.66,180.0,6000
2026-01,Monitor 32 Zoll Curved,Vertrieb Nord,24,23.0,480.0,457.71,270.0,5000
2025-05,Maus Wireless,Vertrieb Sued,280,277.0,28.0,27.79,10.0,900
2025-04,Monitor 32 Zoll Curved,Vertrieb Ost,24,17.0,480.0,-491.92,270.0,5000
2026-01,Maus Wireless,Vertrieb Online,280,217.0,28.0,28.15,10.0,900
2026-08,Webcam HD,Vertrieb West,140,150.0,55.0,54.9,22.0,1100
2025-03,Schreibtischlampe LED,Vertrieb Sued,180,179.0,38.0,34.52,14.0,800
2026-06,Monitor 27 Zoll,Vertrieb Online,60,61.0,280.0,290.74,160.0,4000
2026-06,Headset Business,Vertrieb Sued,120,113.0,75.0,78.96,32.0,1600
2025-04,Dockingstation USB-C,Vertrieb Ost,76,70.0,140.0,141.8,65.0,2200
2026-08,Webcam HD,Vertrieb Sued,140,122.0,55.0,52.76,22.0,1100
2026-03,Buerostuhl Basic,Vertrieb West,80,93.0,120.0,124.37,70.0,3000
2026-10,Monitor 32 Zoll Curved,Vertrieb Sued,24,22.0,480.0,520.88,270.0,5000
2026-10,Headset Business,Vertrieb Online,120,127.0,75.0,71.35,32.0,1600
2025-02,Schreibtisch Fix,Vertrieb Sued,40,44.0,220.0,229.15,110.0,3500
2025-12,Maus Wireless,Vertrieb Online,280,311.0,28.0,29.74,10.0,900
2026-07,Buerostuhl Basic,Vertrieb Online,80,74.0,120.0,120.03,70.0,3000
2026-08,Buerostuhl Ergonomic,Vertrieb West,18,17.0,550.0,513.71,290.0,7000
2026-02,Webcam HD,Vertrieb Sued,140,142.0,55.0,56.47,22.0,1100
2025-02,Tastatur Mechanisch,Vertrieb Ost,100,103.0,95.0,90.29,42.0,1800
2026-02,Schreibtisch Fix,Vertrieb Ost,40,21.0,220.0,225.81,110.0,3500
2025-04,Buerostuhl Basic,Vertrieb West,80,74.0,120.0,126.92,70.0,3000
2025-02,Tastatur Wireless,Vertrieb Ost,240,271.0,45.0,46.89,18.0,1200
2025-09,Schreibtisch Elektrisch,Vertrieb Online,18,20.0,650.0,653.43,380.0,8000
2026-12,Buerostuhl Premium,Vertrieb Sued,30,29.0,350.0,337.77,180.0,6000
2025-03,Monitor 27 Zoll,Vertrieb Online,60,61.0,280.0,266.01,160.0,4000
2026-08,Buerostuhl Ergonomic,Vertrieb Nord,18,15.0,550.0,597.33,290.0,7000
2025-09,Headset Business,Vertrieb Sued,120,137.0,75.0,80.07,32.0,1600
2026-09,Schreibtisch Fix,Vertrieb Sued,40,38.0,220.0,219.0,110.0,3500
2025-03,Monitor 32 Zoll Curved,Vertrieb Ost,24,23.0,480.0,523.14,270.0,5000
2025-05,Monitor 27 Zoll,Vertrieb Ost,60,61.0,280.0,270.62,160.0,4000
2025-12,Schreibtisch Elektrisch,Vertrieb West,18,19.0,650.0,651.09,380.0,8000
2026-08,Schreibtischlampe LED,Vertrieb Ost,180,192.0,38.0,38.49,14.0,800
2025-06,Tastatur Mechanisch,Vertrieb Online,100,98.0,95.0,95.3,42.0,1800
2026-02,Buerostuhl Ergonomic,Vertrieb Sued,18,19.0,550.0,567.65,290.0,7000
2026-12,Monitor 24 Zoll,Vertrieb Ost,70,58.0,180.0,177.58,100.0,2500
2025-11,Monitor 24 Zoll,Vertrieb Nord,70,56.0,180.0,168.6,100.0,2500
2025-04,Buerostuhl Basic,Vertrieb Online,80,66.0,120.0,117.88,70.0,3000
2025-04,Monitor 27 Zoll,Vertrieb Nord,60,65.0,280.0,283.61,160.0,4000
2025-07,Buerostuhl Premium,Vertrieb Nord,30,32.0,350.0,354.35,180.0,6000
2025-01,Buerostuhl Ergonomic,Vertrieb Ost,18,13.0,550.0,596.07,290.0,7000
2025-07,Buerostuhl Basic,Vertrieb Online,80,88.0,120.0,129.52,70.0,3000
2026-01,Webcam HD,Vertrieb Ost,140,121.0,55.0,59.5,22.0,1100
2026-10,Schreibtisch Elektrisch,Vertrieb Online,18,21.0,650.0,667.51,380.0,8000
2025-12,Monitor 24 Zoll,Vertrieb Online,70,80.0,180.0,181.65,100.0,2500
2026-12,Headset Business,Vertrieb Ost,120,116.0,75.0,78.27,32.0,1600
2026-01,Webcam HD,Vertrieb Sued,140,130.0,55.0,53.08,22.0,1100
2026-07,Maus Wireless,Vertrieb Nord,280,293.0,28.0,24.68,10.0,900
2026-09,Monitor 24 Zoll,Vertrieb Sued,70,65.0,180.0,175.44,100.0,2500
2025-10,Schreibtisch Elektrisch,Vertrieb Online,18,22.0,650.0,629.46,380.0,8000
2025-02,Headset Business,Vertrieb Online,120,109.0,75.0,73.37,32.0,1600
2025-11,Monitor 27 Zoll,Vertrieb Online,60,63.0,280.0,275.54,160.0,4000
2025-11,Buerostuhl Ergonomic,Vertrieb Nord,18,15.0,550.0,530.74,290.0,7000
2025-10,Monitor 32 Zoll Curved,Vertrieb West,24,21.0,480.0,459.35,270.0,5000
2026-11,Tastatur Mechanisch,Vertrieb Ost,100,109.0,95.0,92.74,42.0,1800
2026-01,Monitor 24 Zoll,Vertrieb West,70,60.0,180.0,186.69,100.0,2500
2026-09,Schreibtischlampe LED,Vertrieb West,180,187.0,38.0,38.07,14.0,800
2026-03,Schreibtischlampe LED,Vertrieb Online,180,186.0,38.0,39.81,14.0,800
2025-07,Webcam HD,Vertrieb Nord,140,145.0,55.0,58.48,22.0,1100
2025-12,Buerostuhl Premium,Vertrieb Online,30,30.0,350.0,351.95,180.0,6000
2025-05,Maus Wireless,Vertrieb Ost,280,293.0,28.0,28.18,10.0,900
2026-08,Buerostuhl Basic,Vertrieb Ost,80,83.0,120.0,118.47,70.0,3000
2025-06,Monitor 27 Zoll,Vertrieb Sued,60,63.0,280.0,265.25,160.0,4000
2025-03,Buerostuhl Premium,Vertrieb Nord,30,30.0,350.0,359.4,180.0,6000
2025-10,Maus Wireless,Vertrieb Sued,280,292.0,28.0,29.48,10.0,900
2026-10,Buerostuhl Premium,Vertrieb Online,30,33.0,350.0,381.83,180.0,6000
2025-07,Tastatur Wireless,Vertrieb Online,240,235.0,45.0,46.77,18.0,1200
2026-05,Webcam HD,Vertrieb Online,140,142.0,55.0,50.78,22.0,1100
2025-06,Headset Business,Vertrieb West,120,122.0,75.0,78.91,32.0,1600
2026-10,Buerostuhl Ergonomic,Vertrieb Ost,18,18.0,550.0,535.21,290.0,7000
2025-12,Monitor 32 Zoll Curved,Vertrieb Ost,24,26.0,480.0,461.51,270.0,5000
2025-04,Buerostuhl Ergonomic,Vertrieb Sued,18,,550.0,567.35,290.0,7000
2025-03,Tastatur Mechanisch,Vertrieb Ost,100,104.0,95.0,94.56,42.0,1800
2025-01,Schreibtisch Fix,Vertrieb Nord,40,43.0,220.0,238.4,110.0,3500
2025-05,Tastatur Wireless,Vertrieb Sued,240,253.0,45.0,44.94,18.0,1200
2025-04,Tastatur Mechanisch,Vertrieb Ost,100,95.0,95.0,95.96,42.0,1800
2025-04,Schreibtisch Elektrisch,Vertrieb Ost,18,14.0,650.0,609.2,380.0,8000
2025-03,Monitor 32 Zoll Curved,Vertrieb Nord,24,25.0,480.0,496.96,270.0,5000
2025-11,Buerostuhl Basic,Vertrieb Online,80,69.0,120.0,116.06,70.0,3000
2025-11,Schreibtisch Elektrisch,Vertrieb Online,18,18.0,650.0,632.18,380.0,8000
2025-10,Headset Business,Vertrieb Online,120,104.0,75.0,75.1,32.0,1600
2026-10,Maus Wireless,Vertrieb Ost,280,265.0,28.0,28.55,10.0,900
2025-11,Schreibtisch Elektrisch,Vertrieb Nord,18,18.0,650.0,648.89,380.0,8000
2025-11,Schreibtisch Fix,Vertrieb Nord,40,34.0,220.0,240.04,110.0,3500
2025-03,Maus Wireless,Vertrieb West,280,280.0,28.0,31.78,10.0,900
2025-11,Tastatur Mechanisch,Vertrieb Sued,100,86.0,95.0,100.8,42.0,1800
2026-01,Maus Wireless,Vertrieb Sued,280,261.0,28.0,27.69,10.0,900
2026-08,Tastatur Wireless,Vertrieb West,240,234.0,45.0,43.52,18.0,1200
2026-10,Webcam HD,Vertrieb Sued,140,135.0,55.0,56.75,22.0,1100
2026-03,Schreibtischlampe LED,Vertrieb Nord,180,179.0,38.0,37.26,14.0,800
2025-09,Buerostuhl Premium,Vertrieb Sued,30,26.0,350.0,341.84,180.0,6000
2025-07,Dockingstation USB-C,Vertrieb Ost,76,74.0,140.0,150.01,65.0,2200
2025-03,Schreibtischlampe LED,Vertrieb Ost,180,156.0,38.0,35.22,14.0,800
2026-04,Buerostuhl Ergonomic,Vertrieb Online,18,18.0,550.0,549.85,290.0,7000
2025-07,Schreibtisch Elektrisch,Vertrieb Sued,18,17.0,650.0,647.3,380.0,8000
2026-11,Maus Wireless,Vertrieb West,280,302.0,28.0,27.98,10.0,900
2026-06,Dockingstation USB-C,Vertrieb West,76,76.0,140.0,135.85,65.0,2200
2025-11,Monitor 32 Zoll Curved,Vertrieb West,24,23.0,480.0,490.53,270.0,5000
2026-05,Monitor 27 Zoll,Vertrieb Sued,60,65.0,280.0,293.62,160.0,4000
2025-06,Buerostuhl Premium,Vertrieb Sued,30,,350.0,316.45,180.0,6000
2025-01,Monitor 27 Zoll,Vertrieb Ost,60,62.0,280.0,282.83,160.0,4000
2025-11,Buerostuhl Ergonomic,Vertrieb West,18,20.0,550.0,563.85,290.0,7000
2026-01,Schreibtisch Fix,Vertrieb Online,40,33.0,220.0,207.22,110.0,3500
